Far field
"Theta"[deg]	"ePlane [dBi]"	
-1.00000000E+01	-3.99162045E+00	
-9.95000000E+00	-2.82929927E+00	
-9.90000000E+00	-1.83902982E+00	
-9.85000000E+00	-1.03393904E+00	
-9.80000000E+00	-4.13218232E-01	
-9.75000000E+00	2.70170174E-02	
-9.70000000E+00	2.89164735E-01	
-9.65000000E+00	3.72006028E-01	
-9.60000000E+00	2.69253915E-01	
-9.55000000E+00	-3.21355027E-02	
-9.50000000E+00	-5.54654963E-01	
-9.45000000E+00	-1.33508260E+00	
-9.40000000E+00	-2.43384682E+00	
-9.35000000E+00	-3.95486721E+00	
-9.30000000E+00	-6.09336049E+00	
-9.25000000E+00	-9.27534887E+00	
-9.20000000E+00	-1.46984188E+01	
-9.15000000E+00	-2.34442533E+01	
-9.10000000E+00	-1.43141427E+01	
-9.05000000E+00	-8.75926484E+00	
-9.00000000E+00	-5.39808125E+00	
-8.95000000E+00	-3.06536932E+00	
-8.90000000E+00	-1.34365491E+00	
-8.85000000E+00	-4.08620889E-02	
-8.80000000E+00	9.45371800E-01	
-8.75000000E+00	1.67438386E+00	
-8.70000000E+00	2.18183920E+00	
-8.65000000E+00	2.48873725E+00	
-8.60000000E+00	2.60581502E+00	
-8.55000000E+00	2.53554928E+00	
-8.50000000E+00	2.27260679E+00	
-8.45000000E+00	1.80292067E+00	
-8.40000000E+00	1.10102920E+00	
-8.35000000E+00	1.24507530E-01	
-8.30000000E+00	-1.19746573E+00	
-8.25000000E+00	-2.98929884E+00	
-8.20000000E+00	-5.49218854E+00	
-8.15000000E+00	-9.25649562E+00	
-8.10000000E+00	-1.58117106E+01	
-8.05000000E+00	-1.87439659E+01	
-8.00000000E+00	-1.09130562E+01	
-7.95000000E+00	-6.52031703E+00	
-7.90000000E+00	-3.71208843E+00	
-7.85000000E+00	-1.74033474E+00	
-7.80000000E+00	-2.98794650E-01	
-7.75000000E+00	7.63975247E-01	
-7.70000000E+00	1.53252374E+00	
-7.65000000E+00	2.05796127E+00	
-7.60000000E+00	2.37304045E+00	
-7.55000000E+00	2.50008609E+00	
-7.50000000E+00	2.45607763E+00	
-7.45000000E+00	2.25700676E+00	
-7.40000000E+00	1.92299072E+00	
-7.35000000E+00	1.48544012E+00	
-7.30000000E+00	9.96858270E-01	
-7.25000000E+00	5.40540219E-01	
-7.20000000E+00	2.29205655E-01	
-7.15000000E+00	1.74634333E-01	
-7.10000000E+00	4.30093612E-01	
-7.05000000E+00	9.54716128E-01	
-7.00000000E+00	1.64191958E+00	
-6.95000000E+00	2.37782183E+00	
-6.90000000E+00	3.07623408E+00	
-6.85000000E+00	3.68290851E+00	
-6.80000000E+00	4.16660724E+00	
-6.75000000E+00	4.50932020E+00	
-6.70000000E+00	4.69920679E+00	
-6.65000000E+00	4.72604724E+00	
-6.60000000E+00	4.57822257E+00	
-6.55000000E+00	4.24038953E+00	
-6.50000000E+00	3.69130087E+00	
-6.45000000E+00	2.90159280E+00	
-6.40000000E+00	1.83238974E+00	
-6.35000000E+00	4.39735579E-01	
-6.30000000E+00	-1.29232841E+00	
-6.25000000E+00	-3.20008191E+00	
-6.20000000E+00	-4.51190697E+00	
-6.15000000E+00	-4.01297477E+00	
-6.10000000E+00	-2.06049806E+00	
-6.05000000E+00	1.17680184E-01	
-6.00000000E+00	2.02146906E+00	
-5.95000000E+00	3.58197472E+00	
-5.90000000E+00	4.83211010E+00	
-5.85000000E+00	5.81431329E+00	
-5.80000000E+00	6.56234760E+00	
-5.75000000E+00	7.09970208E+00	
-5.70000000E+00	7.44091437E+00	
-5.65000000E+00	7.59280186E+00	
-5.60000000E+00	7.55497165E+00	
-5.55000000E+00	7.31941268E+00	
-5.50000000E+00	6.86887296E+00	
-5.45000000E+00	6.17331423E+00	
-5.40000000E+00	5.18276999E+00	
-5.35000000E+00	3.81243815E+00	
-5.30000000E+00	1.90833746E+00	
-5.25000000E+00	-8.45687674E-01	
-5.20000000E+00	-5.25147207E+00	
-5.15000000E+00	-1.38404396E+01	
-5.10000000E+00	-1.03256389E+01	
-5.05000000E+00	-3.30767740E+00	
-5.00000000E+00	6.00417812E-01	
-4.95000000E+00	3.20625970E+00	
-4.90000000E+00	5.09024879E+00	
-4.85000000E+00	6.50027606E+00	
-4.80000000E+00	7.56306435E+00	
-4.75000000E+00	8.35077011E+00	
-4.70000000E+00	8.90722149E+00	
-4.65000000E+00	9.25998553E+00	
-4.60000000E+00	9.42667268E+00	
-4.55000000E+00	9.41877102E+00	
-4.50000000E+00	9.24464823E+00	
-4.45000000E+00	8.91293508E+00	
-4.40000000E+00	8.43771228E+00	
-4.35000000E+00	7.84750348E+00	
-4.30000000E+00	7.20012086E+00	
-4.25000000E+00	6.60122007E+00	
-4.20000000E+00	6.20837560E+00	
-4.15000000E+00	6.18175452E+00	
-4.10000000E+00	6.58074647E+00	
-4.05000000E+00	7.31478187E+00	
-4.00000000E+00	8.21769193E+00	
-3.95000000E+00	9.14446150E+00	
-3.90000000E+00	1.00048143E+01	
-3.85000000E+00	1.07529842E+01	
-3.80000000E+00	1.13696861E+01	
-3.75000000E+00	1.18494000E+01	
-3.70000000E+00	1.21934893E+01	
-3.65000000E+00	1.24071639E+01	
-3.60000000E+00	1.24987892E+01	
-3.55000000E+00	1.24808013E+01	
-3.50000000E+00	1.23719442E+01	
-3.45000000E+00	1.22005767E+01	
-3.40000000E+00	1.20081474E+01	
-3.35000000E+00	1.18503084E+01	
-3.30000000E+00	1.17911223E+01	
-3.25000000E+00	1.18867749E+01	
-3.20000000E+00	1.21634739E+01	
-3.15000000E+00	1.26046720E+01	
-3.10000000E+00	1.31588729E+01	
-3.05000000E+00	1.37608906E+01	
-3.00000000E+00	1.43504601E+01	
-2.95000000E+00	1.48804154E+01	
-2.90000000E+00	1.53166223E+01	
-2.85000000E+00	1.56344087E+01	
-2.80000000E+00	1.58144991E+01	
-2.75000000E+00	1.58395470E+01	
-2.70000000E+00	1.56913988E+01	
-2.65000000E+00	1.53490333E+01	
-2.60000000E+00	1.47875672E+01	
-2.55000000E+00	1.39804403E+01	
-2.50000000E+00	1.29127310E+01	
-2.45000000E+00	1.16321112E+01	
-2.40000000E+00	1.04012092E+01	
-2.35000000E+00	9.90920261E+00	
-2.30000000E+00	1.08071020E+01	
-2.25000000E+00	1.26959026E+01	
-2.20000000E+00	1.47911123E+01	
-2.15000000E+00	1.67187391E+01	
-2.10000000E+00	1.83900340E+01	
-2.05000000E+00	1.98092540E+01	
-2.00000000E+00	2.10007000E+01	
-1.95000000E+00	2.19881024E+01	
-1.90000000E+00	2.27898978E+01	
-1.85000000E+00	2.34187891E+01	
-1.80000000E+00	2.38822579E+01	
