Time;Image index (Image index);Engineering stress (Stress calculation);Voltage ADC 1 channel 1
ms;;Pa;V
-80366;1;8946.45;0.00894645
0.02515;2;-552934;-0.552934
5000.03;3;-822657;-0.822657
10000;4;-485842;-0.485842
15000;5;-242243;-0.242243
20000;6;204860;0.20486
25000;7;645050;0.64505
30000;8;926501;0.926501
35000;9;1.09237e+06;1.09237
40000;10;1.21632e+06;1.21632
45000;11;1.32491e+06;1.32491
50000;12;1.42615e+06;1.42615
55000;13;1.52339e+06;1.52339
60000;14;1.61963e+06;1.61963
65000;15;1.71852e+06;1.71852
70000;16;1.81369e+06;1.81369
75000;17;1.90639e+06;1.90639
80000;18;2.00186e+06;2.00186
85000;19;2.09667e+06;2.09667
90000;20;2.18787e+06;2.18787
95000;21;2.27938e+06;2.27938
100000;22;2.37165e+06;2.37165
105000;23;2.46048e+06;2.46048
110000;24;2.54773e+06;2.54773
115000;25;2.62975e+06;2.62975
120000;26;2.71186e+06;2.71186
125000;27;2.79256e+06;2.79256
130000;28;2.86973e+06;2.86973
135000;29;2.94218e+06;2.94218
140000;30;3.01546e+06;3.01546
145000;31;3.08287e+06;3.08287
150000;32;3.14415e+06;3.14415
155000;33;3.20611e+06;3.20611
160000;34;3.26208e+06;3.26208
165000;35;3.31476e+06;3.31476
170000;36;3.35948e+06;3.35948
175000;37;3.40758e+06;3.40758
180000;38;3.4485e+06;3.4485
185000;39;3.48509e+06;3.48509
190000;40;3.51584e+06;3.51584
195000;41;3.54568e+06;3.54568
200000;42;3.57377e+06;3.57377
205000;43;3.59233e+06;3.59233
210000;44;3.61054e+06;3.61054
215000;45;3.62924e+06;3.62924
220000;46;3.63518e+06;3.63518
225000;47;3.64414e+06;3.64414
230000;48;3.6475e+06;3.6475
235000;49;3.64907e+06;3.64907
240000;50;3.64116e+06;3.64116
245000;51;3.63417e+06;3.63417
250000;52;3.62855e+06;3.62855
255000;53;3.61244e+06;3.61244
260000;54;3.58818e+06;3.58818
265000;55;3.57172e+06;3.57172
270000;56;3.55389e+06;3.55389
275000;57;3.50476e+06;3.50476
280000;58;2.13878e+06;2.13878
