x[mm];y[mm];z[mm];x-displacement[mm];y-displacement[mm];z-displacement[mm]
-20.7107;247.506;-0.512943;0.0209346;0.0195434;-1.54597
-12.2544;247.506;-0.471976;0.02059;0.0322264;-1.74206
-3.79809;247.506;-0.548236;0.0149595;0.0452225;-1.83975
4.6582;247.506;-0.62037;0.00961906;0.0485917;-1.87577
13.1145;247.506;-0.650736;0.0138994;0.0440914;-1.9105
21.5708;247.506;-0.628395;0.0226295;0.0363747;-1.92624
30.0271;247.506;-0.60592;0.0261579;0.0272147;-1.86904
38.4834;247.506;-0.651893;0.0270056;0.0204207;-1.75144
46.9397;247.506;-0.732489;0.0279307;0.0174419;-1.61101
72.3085;247.506;-0.749382;0.0251228;0.0067151;-1.04445
80.7648;247.506;-0.808256;0.0213051;0.00529251;-0.827107
89.2211;247.506;-0.754068;0.0164999;0.00424872;-0.640282
97.6774;247.506;-0.313663;0.0125857;-0.00141434;-0.470957
106.134;247.506;0.36894;0.0109341;-0.00982456;-0.266005
-88.361;239.049;8.57933;-0.0019356;0.00907876;-0.198528
-79.9047;239.049;8.50108;-0.00500502;0.00858761;-0.380433
-62.9921;239.049;2.60738;0.00470129;0.00810129;-1.06921
-54.5358;239.049;-0.17587;0.0110766;0.0210315;-1.42866
-46.0795;239.049;-0.541755;0.0144854;0.0304785;-1.65631
-37.6233;239.049;-0.635314;0.0130896;0.0409083;-1.93427
-29.167;239.049;-0.673576;0.010804;0.0531533;-2.20871
-20.7107;239.049;-0.664832;0.0118793;0.0621597;-2.43327
-12.2544;239.049;-0.632836;0.0197481;0.0610478;-2.62574
-3.79809;239.049;-0.554336;0.0184608;0.0629352;-2.76447
4.6582;239.049;-0.633956;0.0206694;0.0701278;-2.82506
13.1145;239.049;-0.725931;0.0242115;0.0765613;-2.84371
21.5708;239.049;-0.758646;0.0304487;0.0765596;-2.84217
30.0271;239.049;-0.758194;0.0335181;0.0702705;-2.78501
38.4834;239.049;-0.758865;0.0341565;0.0654697;-2.69736
46.9397;239.049;-0.772903;0.0368615;0.0609614;-2.58794
55.396;239.049;-0.821019;0.0373388;0.0542367;-2.43857
63.8522;239.049;-0.891244;0.0373005;0.0411999;-2.24792
72.3085;239.049;-0.86046;0.0375774;0.0242281;-1.98866
80.7648;239.049;-0.923492;0.0346432;0.0195577;-1.71785
89.2211;239.049;-0.930498;0.0294353;0.0179585;-1.45307
97.6774;239.049;-0.840854;0.0230453;0.0104022;-1.19455
106.134;239.049;-0.59755;0.0164322;0.000839683;-0.909278
-113.73;230.593;5.98204;0.0113094;-0.00245837;-0.167831
-105.274;230.593;8.00416;0.00591277;0.00295573;-0.291729
-96.8173;230.593;6.54036;-0.00317936;0.013456;-0.533505
-88.361;230.593;4.50416;-0.0115868;0.0229268;-0.8782
-79.9047;230.593;3.92923;-0.0145205;0.0229409;-1.17764
-71.4484;230.593;2.45957;-0.0125338;0.0242353;-1.59951
-62.9921;230.593;-0.141549;-0.00483033;0.0351324;-2.09396
-54.5358;230.593;-0.4683;0.00483408;0.0456455;-2.41022
-46.0795;230.593;-0.69026;0.00955816;0.0611056;-2.63399
-37.6233;230.593;-0.704206;0.00792209;0.0746593;-2.92274
-29.167;230.593;-0.72503;0.00942717;0.0876928;-3.1741
-20.7107;230.593;-0.867521;0.00706468;0.099589;-3.26513
-12.2544;230.593;-1.05273;0.00981568;0.101831;-3.27722
-3.79809;230.593;-1.11622;0.0171319;0.0961819;-3.33533
4.6582;230.593;-1.08464;0.0252365;0.0991469;-3.47505
13.1145;230.593;-1.01505;0.030962;0.106742;-3.60973
21.5708;230.593;-0.947102;0.0356138;0.110855;-3.69007
30.0271;230.593;-0.877324;0.0380468;0.109042;-3.69946
38.4834;230.593;-0.813827;0.0396164;0.105271;-3.66121
46.9397;230.593;-0.781134;0.0442189;0.0964994;-3.57689
55.396;230.593;-0.781425;0.0479597;0.0831352;-3.43162
63.8522;230.593;-0.817853;0.050169;0.0664374;-3.22756
72.3085;230.593;-0.903767;0.052962;0.0551612;-2.97232
80.7648;230.593;-0.955569;0.0525831;0.0535403;-2.69354
89.2211;230.593;-0.978723;0.0482612;0.0495284;-2.39427
97.6774;230.593;-0.935818;0.0407739;0.0361377;-2.06816
106.134;230.593;-0.888504;0.0331388;0.0177379;-1.71305
114.59;230.593;-0.721154;0.0309363;0.0113812;-1.33957
-113.73;222.137;1.68528;0.0148962;-0.00805088;-0.699601
-105.274;222.137;4.23575;0.00219807;-0.000877132;-0.955164
-96.8173;222.137;2.10191;-0.0102692;0.0180941;-1.41775
-88.361;222.137;0.466827;-0.0173122;0.0332921;-1.89136
-79.9047;222.137;0.239625;-0.0229445;0.0419087;-2.29864
-71.4484;222.137;0.0560671;-0.0257901;0.0485198;-2.72494
-62.9921;222.137;-0.445392;-0.0222831;0.0595098;-3.16197
-54.5358;222.137;-0.43084;-0.00952816;0.0677996;-3.4637
-46.0795;222.137;-0.628638;-0.000813031;0.0844478;-3.67453
-37.6233;222.137;-0.673621;0.00170507;0.0971675;-3.94258
-29.167;222.137;-0.740912;0.00883352;0.109741;-4.16381
-20.7107;222.137;-0.957732;0.00907223;0.124231;-4.18457
-12.2544;222.137;-1.29406;0.0150044;0.130661;-4.10898
-3.79809;222.137;-1.35116;0.0199886;0.125607;-4.15786
4.6582;222.137;-1.2472;0.0287208;0.121892;-4.34298
13.1145;222.137;-1.11194;0.0346661;0.127084;-4.51799
21.5708;222.137;-0.996373;0.0400049;0.134672;-4.63826
30.0271;222.137;-0.877105;0.0428586;0.138472;-4.69762
38.4834;222.137;-0.804448;0.0474232;0.133939;-4.67483
46.9397;222.137;-0.765915;0.0533414;0.121164;-4.58346
55.396;222.137;-0.764072;0.0588758;0.104315;-4.4335
63.8522;222.137;-0.796537;0.0618891;0.0898882;-4.2286
72.3085;222.137;-0.852908;0.0666888;0.0827185;-3.97755
80.7648;222.137;-0.893551;0.0680562;0.0810432;-3.69816
89.2211;222.137;-0.90816;0.0652196;0.0753745;-3.3854
97.6774;222.137;-0.91062;0.0586871;0.0618285;-3.03935
106.134;222.137;-0.943081;0.0502081;0.0425305;-2.66048
114.59;222.137;-0.828419;0.0426521;0.0309954;-2.26206
-130.642;213.681;0.103519;0.0254169;-0.0209117;-0.511804
-122.186;213.681;-0.0004306;0.025003;-0.0221958;-0.925385
-113.73;213.681;-0.0264453;0.00737582;-0.014911;-1.41494
-105.274;213.681;-0.573801;-0.00521775;0.0035622;-1.94116
-96.8173;213.681;-0.451659;-0.0208879;0.0253881;-2.44943
-88.361;213.681;-0.315404;-0.029272;0.0417109;-2.9297
-79.9047;213.681;-0.354355;-0.0362893;0.0535587;-3.36841
-71.4484;213.681;-0.366745;-0.0388993;0.0637099;-3.78949
-62.9921;213.681;-0.321445;-0.0310539;0.0771444;-4.16814
-54.5358;213.681;-0.527912;-0.0104629;0.0864061;-4.43616
-46.0795;213.681;-0.750862;0.00139995;0.104707;-4.62765
-37.6233;213.681;-0.777242;0.00263387;0.116056;-4.89237
-29.167;213.681;-0.780044;0.00814423;0.123448;-5.1504
-20.7107;213.681;-0.87457;0.0116801;0.130566;-5.27926
-12.2544;213.681;-1.03053;0.0168538;0.134459;-5.32743
-3.79809;213.681;-1.00824;0.0207631;0.128605;-5.42888
4.6582;213.681;-0.905457;0.0309797;0.121502;-5.60204
13.1145;213.681;-0.807849;0.0381783;0.126989;-5.73655
