Index;ADC 1 channel 1 [V]
1;-0.0014739
2;-0.0236334
3;-0.0306938
4;-0.00770641
5;0.616305
6;0.74572
7;0.919826
8;1.06736
9;1.19519
10;1.31613
11;1.43193
12;1.53952
13;1.64434
14;1.74651
15;1.84938
16;1.94995
17;2.04642
18;2.14195
19;2.23627
20;2.32798
21;2.42179
22;2.51137
23;2.59918
24;2.68232
25;2.76557
26;2.8457
27;2.91609
28;2.98275
29;3.04662
30;3.10934
31;3.16307
32;3.21836
33;3.26925
34;3.31455
35;3.35684
36;3.39608
37;3.42858
38;3.46608
39;3.49639
40;3.51894
41;3.54091
42;3.56247
43;3.57845
44;3.5683
45;3.54539
46;3.5323
47;3.51912
48;3.51441
49;3.51033
50;3.50814
51;3.50322
52;3.49843
53;3.4991
54;3.49662
55;3.49736
56;3.49226
57;3.49487
58;3.50067
59;3.50613
60;3.51691
61;3.52143
62;3.52961
63;3.53935
64;3.54907
65;3.55664
66;3.56204
67;3.56733
68;3.57576
69;3.57785
70;3.57295
71;3.57032
72;3.57158
73;3.57259
74;3.57612
75;3.5787
76;3.58259
77;3.58326
78;3.58342
79;3.58605
80;3.58818
81;3.59201
82;3.58687
83;3.59029
84;3.59223
85;3.59189
86;3.59339
87;3.59769
88;3.59945
89;3.59837
90;3.59695
91;3.60052
92;3.59664
93;3.59657
94;3.5958
95;3.59847
96;3.59878
97;3.60263
98;3.60863
99;3.60936
100;3.61098
101;3.6086
102;3.60694
103;3.598
104;3.59634
105;3.59363
106;3.6001
107;3.60411
108;3.60521
109;3.60978
110;3.60672
111;3.61168
112;3.61348
113;3.60923
114;3.60214
115;3.59628
116;3.59889
117;3.59813
118;3.60526
119;3.60532
120;3.6055
121;3.6081
122;3.60472
123;3.60378
124;3.60536
125;3.60194
126;3.59912
127;3.5983
128;3.59891
129;3.60094
130;3.6047
131;3.60398
132;3.60317
133;3.60094
134;3.60065
135;3.597
136;3.59402
137;3.58882
138;3.5889
139;3.58976
140;3.59382
141;3.59579
142;3.59575
143;3.59857
144;3.59513
145;3.58976
146;3.58388
147;3.57385
148;3.57282
149;3.57649
150;3.57653
151;3.58161
152;3.58322
153;3.58439
154;3.58257
155;3.58058
156;3.58045
