x[mm];y[mm];z[mm];x-displacement[mm];y-displacement[mm];z-displacement[mm]
-4.38334;224.758;0.115697;-0.0332047;0.0673228;-2.18787
4.44212;224.758;0.0164864;-0.0276036;0.0696893;-2.19544
13.2676;224.758;-0.0263853;-0.018148;0.0657086;-2.16342
22.093;224.758;-0.0573264;-0.0148296;0.0542486;-2.07863
-39.6852;215.933;-0.0236217;-0.0358269;0.0885525;-2.50667
-30.8597;215.933;-0.110706;-0.0340484;0.0959734;-2.65506
-22.0342;215.933;-0.217603;-0.0309032;0.0911936;-2.73009
-13.2088;215.933;-0.282745;-0.0213979;0.086956;-2.84992
-4.38334;215.933;-0.258786;-0.0231072;0.0927422;-2.98644
4.44212;215.933;-0.243161;-0.020578;0.100788;-3.07454
13.2676;215.933;-0.236875;-0.0131592;0.102494;-3.0755
22.093;215.933;-0.216982;-0.00974183;0.095346;-3.02346
30.9185;215.933;-0.190114;-0.00828093;0.0895069;-2.95225
39.7439;215.933;-0.184509;-0.00711645;0.0812113;-2.84059
48.5694;215.933;-0.226374;-0.00555587;0.0695475;-2.6732
57.3948;215.933;-0.282106;-0.00465504;0.0569499;-2.44635
66.2203;215.933;-0.344594;-0.00675951;0.0532758;-2.18362
75.0458;215.933;-0.390934;-0.00999757;0.0494441;-1.89425
-74.987;207.107;0.310109;-0.0617795;0.0682745;-2.41868
-66.1615;207.107;0.220077;-0.0534469;0.0797942;-2.73824
-57.3361;207.107;0.0527837;-0.0460817;0.093681;-2.99979
-48.5106;207.107;-0.00835472;-0.045198;0.107732;-3.28956
-39.6852;207.107;-0.0847791;-0.0419756;0.117528;-3.50347
-30.8597;207.107;-0.343077;-0.0362105;0.130085;-3.55284
-22.0342;207.107;-0.616261;-0.0292859;0.128511;-3.50902
-13.2088;207.107;-0.691359;-0.0190305;0.119513;-3.59049
-4.38334;207.107;-0.578334;-0.0153855;0.114564;-3.76009
4.44212;207.107;-0.485139;-0.0114419;0.124071;-3.91395
13.2676;207.107;-0.40193;-0.00534633;0.130411;-3.98774
22.093;207.107;-0.315914;-0.00253274;0.126893;-3.99617
30.9185;207.107;-0.244018;0.000130179;0.118856;-3.95594
39.7439;207.107;-0.213265;0.00434624;0.106125;-3.85427
48.5694;207.107;-0.231486;0.00761843;0.0905066;-3.68854
57.3948;207.107;-0.284992;0.00935849;0.078972;-3.45166
66.2203;207.107;-0.341313;0.00947022;0.0767566;-3.18405
75.0458;207.107;-0.380589;0.00715716;0.0745453;-2.88513
83.8712;207.107;-0.390712;0.00256255;0.0651874;-2.55537
92.6967;207.107;-0.374898;-0.00162959;0.0466887;-2.18464
-110.289;198.282;0.583516;-0.0415798;0.0252828;-1.60714
-101.463;198.282;0.489507;-0.0553107;0.0487442;-2.10088
-92.6379;198.282;0.390211;-0.0703207;0.0687335;-2.58612
-83.8124;198.282;0.339983;-0.076437;0.0793187;-3.03724
-74.987;198.282;0.263229;-0.0696828;0.0876331;-3.45039
-66.1615;198.282;0.117529;-0.0555492;0.0957403;-3.76139
-57.3361;198.282;-0.0883866;-0.0446966;0.112816;-4.00841
-48.5106;198.282;-0.117861;-0.0452146;0.124589;-4.28162
-39.6852;198.282;-0.151734;-0.0421012;0.13119;-4.51253
-30.8597;198.282;-0.371237;-0.0350945;0.144542;-4.58654
-22.0342;198.282;-0.571981;-0.029228;0.144808;-4.5781
-13.2088;198.282;-0.599976;-0.0204932;0.135117;-4.66392
-4.38334;198.282;-0.463282;-0.0152912;0.125944;-4.82569
4.44212;198.282;-0.364679;-0.0104592;0.134369;-4.97835
13.2676;198.282;-0.290782;-0.00371311;0.144144;-5.06528
22.093;198.282;-0.237665;0.00232094;0.143932;-5.07268
30.9185;198.282;-0.20546;0.00814798;0.135598;-5.01068
39.7439;198.282;-0.194017;0.0136976;0.122054;-4.8909
48.5694;198.282;-0.199538;0.0170974;0.108364;-4.72351
57.3948;198.282;-0.240019;0.019331;0.0991402;-4.49058
66.2203;198.282;-0.284398;0.0220766;0.0978574;-4.22321
75.0458;198.282;-0.313877;0.022125;0.0934495;-3.91437
83.8712;198.282;-0.315215;0.0187745;0.0833021;-3.56434
92.6967;198.282;-0.30735;0.0134278;0.0678044;-3.17856
101.522;198.282;-0.292857;0.00655511;0.0546253;-2.76653
110.348;198.282;-0.266497;-0.00260453;0.0394035;-2.32802
-101.463;189.456;0.583998;-0.0790936;0.0661937;-3.1091
-92.6379;189.456;0.499634;-0.0901003;0.080973;-3.60911
-83.8124;189.456;0.376132;-0.092085;0.095376;-4.04765
-74.987;189.456;0.209713;-0.0798761;0.105857;-4.41784
-66.1615;189.456;0.0105991;-0.0583358;0.117296;-4.7449
-57.3361;189.456;-0.165576;-0.0437579;0.122892;-4.96553
-48.5106;189.456;-0.22232;-0.0421834;0.130809;-5.21404
-39.6852;189.456;-0.204346;-0.0391009;0.133877;-5.50353
-30.8597;189.456;-0.258025;-0.0324617;0.144634;-5.72326
-22.0342;189.456;-0.310302;-0.024579;0.146973;-5.85428
-13.2088;189.456;-0.287012;-0.0153215;0.140703;-5.97932
-4.38334;189.456;-0.184105;-0.00915229;0.13384;-6.1131
4.44212;189.456;-0.130452;-0.00461664;0.141007;-6.21432
13.2676;189.456;-0.107682;0.000595088;0.150537;-6.24268
22.093;189.456;-0.107904;0.00747921;0.152632;-6.19874
30.9185;189.456;-0.11755;0.0147943;0.146023;-6.09775
39.7439;189.456;-0.125036;0.0205276;0.134135;-5.95484
48.5694;189.456;-0.12687;0.0231157;0.123556;-5.77778
57.3948;189.456;-0.15668;0.0258967;0.117141;-5.54334
66.2203;189.456;-0.192424;0.0301188;0.113955;-5.26917
75.0458;189.456;-0.217161;0.0322778;0.107002;-4.94873
83.8712;189.456;-0.224744;0.0309489;0.0952208;-4.58437
92.6967;189.456;-0.224059;0.0264096;0.0813961;-4.18133
101.522;189.456;-0.222112;0.019448;0.0688689;-3.74685
110.348;189.456;-0.204009;0.0113403;0.0552626;-3.2745
119.173;189.456;-0.165647;0.000949019;0.038489;-2.7892
127.998;189.456;-0.110056;-0.0112086;0.0212075;-2.27863
136.824;189.456;-0.089791;-0.0261425;0.000660297;-1.70614
-127.94;180.631;0.74136;-0.0668373;0.0198007;-2.31083
-119.114;180.631;0.686113;-0.0795666;0.040864;-2.89201
-110.289;180.631;0.664279;-0.0935884;0.062109;-3.47677
-101.463;180.631;0.664402;-0.106369;0.075702;-4.02368
-92.6379;180.631;0.523733;-0.113583;0.0978423;-4.49877
-83.8124;180.631;0.277093;-0.112516;0.123054;-4.86375
-74.987;180.631;0.0972331;-0.0964131;0.138003;-5.26628
-66.1615;180.631;0.0192403;-0.068369;0.137012;-5.72235
-57.3361;180.631;-0.0384827;-0.047512;0.12635;-6.0256
-48.5106;180.631;-0.169323;-0.0403963;0.134101;-6.26418
-39.6852;180.631;-0.144168;-0.0398321;0.137206;-6.53777
-30.8597;180.631;-0.0963;-0.0364256;0.144325;-6.8158
-22.0342;180.631;-0.0527723;-0.0294024;0.146957;-7.01997
-13.2088;180.631;-0.0100783;-0.0200149;0.145027;-7.16869
-4.38334;180.631;0.0303358;-0.0124388;0.143158;-7.27517
4.44212;180.631;0.0252143;-0.00741016;0.149048;-7.32812
13.2676;180.631;0.00450403;-0.00091748;0.157504;-7.32288
22.093;180.631;-0.018546;0.0077444;0.16093;-7.26205
30.9185;180.631;-0.0338622;0.0167436;0.157063;-7.15473
39.7439;180.631;-0.0388275;0.0235899;0.147882;-7.00719
48.5694;180.631;-0.0408076;0.0265585;0.138794;-6.81982
57.3948;180.631;-0.0684124;0.0298112;0.133187;-6.57868
66.2203;180.631;-0.0989539;0.0343238;0.127567;-6.29584
75.0458;180.631;-0.11699;0.0377332;0.119159;-5.96741
83.8712;180.631;-0.123474;0.0388021;0.108816;-5.59227
92.6967;180.631;-0.135698;0.0372534;0.0985894;-5.1703
101.522;180.631;-0.159817;0.0323453;0.0883561;-4.70514
110.348;180.631;-0.164297;0.0227899;0.0732037;-4.20335
119.173;180.631;-0.142405;0.0113877;0.0551012;-3.68167
127.998;180.631;-0.0925073;0.000896064;0.0368504;-3.15041
136.824;180.631;-0.0336097;-0.0107986;0.0212763;-2.61574
145.649;180.631;-0.0379364;-0.022591;-0.00237703;-1.98861
154.475;180.631;-0.0880527;-0.0424718;-0.0317437;-1.25735
-136.765;171.805;0.823981;-0.0778384;0.0220691;-2.54759
-127.94;171.805;0.752558;-0.0877717;0.0403364;-3.15825
-119.114;171.805;0.659385;-0.101245;0.0634296;-3.76276
-110.289;171.805;0.605675;-0.116261;0.0842332;-4.35961
-101.463;171.805;0.586648;-0.12761;0.0964276;-4.90653
-92.6379;171.805;0.353907;-0.132643;0.125436;-5.33546
-83.8124;171.805;0.0423124;-0.131828;0.163004;-5.70175
-74.987;171.805;0.0235992;-0.116213;0.173255;-6.18012
-66.1615;171.805;0.190632;-0.0866316;0.152313;-6.74995
-57.3361;171.805;0.257199;-0.0617307;0.129555;-7.14755
-48.5106;171.805;0.104918;-0.0511236;0.137598;-7.39274
-39.6852;171.805;0.0433318;-0.0463231;0.150246;-7.62812
-30.8597;171.805;0.0524267;-0.0414131;0.161623;-7.88087
-22.0342;171.805;0.0785416;-0.0338359;0.165984;-8.07664
-13.2088;171.805;0.0910024;-0.0236977;0.166174;-8.2097
-4.38334;171.805;0.078394;-0.0136444;0.166444;-8.28806
4.44212;171.805;0.0379231;-0.00597525;0.169355;-8.31544
13.2676;171.805;0.0116114;0.000869716;0.175788;-8.30779
22.093;171.805;0.000758321;0.00996668;0.180586;-8.26262
30.9185;171.805;0.00878433;0.0200782;0.179213;-8.17549
39.7439;171.805;0.025114;0.0288;0.17131;-8.03926
48.5694;171.805;0.0270535;0.0341179;0.161434;-7.8463
57.3948;171.805;0.00249064;0.0388248;0.154686;-7.60011
66.2203;171.805;-0.0158436;0.0436828;0.14714;-7.31412
75.0458;171.805;-0.019499;0.0474215;0.136996;-6.98045
83.8712;171.805;-0.0225791;0.0494692;0.126775;-6.59184
92.6967;171.805;-0.0516835;0.0499573;0.120039;-6.14623
101.522;171.805;-0.107861;0.0477475;0.112676;-5.65355
110.348;171.805;-0.127719;0.0396487;0.0952308;-5.12949
