% Model:              electrostatically actuated reflector 50-cm.mph
% Version:            COMSOL 6.3.0.335
% Date:               Jun 9 2025, 23:48
% Dimension:          1
% Nodes:              674
% Expressions:        1
% Description:        Line graph
% y-coordinate (m)        Displacement field, Z-component
-0.25                     0
-0.24792639086969526      -0.2712894910820012
-0.24585274142516375      -0.5427959937745968
-0.2458527411260511       -0.542796032884283
-0.24585274082695405      -0.5427960720224696
-0.2437790278322871       -0.8137696890689714
-0.24170527660844213      -1.0849600450772392
-0.24170527392516947      -1.0849603954951834
-0.2417052712420341       -1.0849607461691677
-0.23963145646795914      -1.3556182171729665
-0.2375576055496961       -1.6264921549469677
-0.23755759839735796      -1.6264930878596167
-0.23755759337321875      -1.6264937425305177
-0.23464378106867625      -2.0062007129056965
-0.23464377129616265      -2.006201983415809
-0.23172979088760853      -2.385066688112623
-0.23172977986836876      -2.3850681174402952
-0.2288156278541573       -2.7630910135608087
-0.22881561908989392      -2.763092147792464
-0.22590128832913048      -3.1402721164474925
-0.2259012826659845       -3.140272847718952
-0.22298677390533056      -3.5165945778906846
-0.2229867678456088       -3.516595358539138
-0.22007208458276667      -3.892058397841842
-0.22007207233756404      -3.8920599702612053
-0.2164862522836085       -4.352549342681767
-0.21648622977702978      -4.352552221865563
-0.21290010610821736      -4.8113422677441156
-0.21290008085483486      -4.8113454860774105
-0.209313646056598        -5.268437173219653
-0.2093136255713387       -5.268439773968957
-0.20572687719261692      -5.723842934631084
-0.20572686232711956      -5.723844814932787
-0.20213979240402233      -6.177520798264023
-0.2021397768562515       -6.177522757202983
-0.19855239169078043      -6.629470763875149
-0.19855236549716618      -6.629474048128608
-0.19438164528884905      -7.152469789520195
-0.19438161015938954      -7.152474171782097
-0.19021044129302933      -7.672866296248455
-0.190210407047274        -7.672870546438746
-0.18603877970333593      -8.190660284448057
-0.1860387561614092       -8.190663191196336
-0.18186666228626489      -8.705820910849447
-0.18186664730028962      -8.70582275173927
-0.17769408537134687      -9.21833701433868
-0.17769406600773724      -9.218339380447809
-0.17352104895856757      -9.728208594949766
-0.17352101454211352      -9.728212788937585
-0.17187009307609202      -9.928938446065569
-0.17066687325871052      -10.075255041741574
-0.17021907560920085      -10.129586836225343
-0.16960465392538954      -10.204147725628149
-0.16856798205843532      -10.32966320383917
-0.16781245785533608      -10.421153884019914
-0.16691681832940164      -10.529367353850361
-0.16568788175857696      -10.677875477867893
-0.16526558711037373      -10.728790238893577
-0.16495782783220964      -10.765902050716013
-0.16357022897964646      -10.932402155836742
-0.16172358564053985      -11.154790165849501
-0.1606257289664381       -11.286391658339287
-0.15984495716349523      -11.37998511869159
-0.15777579296266506      -11.626549360466697
-0.154967904145388        -11.961145867714386
-0.15492562488504602      -11.966153908235533
-0.15486617975950429      -11.973195376174258
-0.1520751303018814       -12.302147600728397
-0.15009005641894893      -12.536111458122729
-0.14922440163396625      -12.637523026604354
-0.1480072219192456       -12.780118067883414
-0.14637338562516014      -12.97055574952952
