% Model:              electrostatically actuated reflector 50-cm.mph
% Version:            COMSOL 6.3.0.335
% Date:               Jun 9 2025, 23:45
% Dimension:          1
% Nodes:              102
% Expressions:        1
% Description:        Global
% -zset (mm)              Value
5                         10.454340066939475
5.5                       12.099682823701741
6                         12.60183926224312
6.500000000000001         13.08474525024425
7                         13.550969381300247
7.5                       14.002484655887836
8                         14.44079402912952
8.5                       14.867024046563602
9.000000000000002         15.281996087115964
9.5                       15.686281755236362
10                        16.080246758021204
10.5                      16.46408621548787
11                        16.837853456029443
11.5                      17.201483756940313
12                        17.554814090546024
12.5                      17.897599662028004
13.000000000000002        18.2295278330475
13.5                      18.550229888603187
14                        18.859291005531638
14.5                      19.15625870798893
15                        19.440650040297626
15.5                      19.711957645391895
16                        19.969654904101546
16.5                      20.213200264168066
17                        20.442040866424236
17.5                      20.65561555776432
18.000000000000004        20.853357365516256
18.5                      21.03469549499686
19                        21.199056900980107
19.5                      21.345867474291392
20                        21.474552876663125
20.5                      21.5845390504103
21                        21.67525242465169
21.5                      21.74611983718811
22                        21.796568191522034
22.5                      21.826023873022077
23                        21.83391195855943
23.5                      21.819655272365257
24                        21.782673370456276
24.5                      21.722381580760672
25                        21.638190291136443
25.500000000000004        21.52950476909702
26.000000000000004        21.395725922871442
26.5                      21.23625258266227
27                        21.05048610516605
27.5                      20.837838399320574
28                        20.597744861357103
28.5                      20.329684236565484
29                        20.033208181657443
29.500000000000004        19.707984475127944
30                        19.35385985575545
5                         7.0983601274374
5.5                       9.046512321329498
6                         9.64482802209799
6.500000000000001         10.220545859642808
7                         10.776627243170587
7.5                       11.31526803209881
8                         11.838090224703171
8.5                       12.346277420500801
9.000000000000002         12.840673199328611
9.5                       13.321854188695648
10                        13.79018538666049
10.5                      14.245862745255716
11                        14.688946418410046
11.5                      15.11938704581776
12                        15.537046760675304
12.5                      15.941716145969641
13.000000000000002        16.333128043459713
13.5                      16.710968893543857
14                        17.07488812230813
14.5                      17.424505974371698
15                        17.759420103554476
15.5                      18.079211168416027
16                        18.383447636573255
16.5                      18.671689947416287
17                        18.943494192885776
17.5                      19.19841540708296
18.000000000000004        19.43601058193776
18.5                      19.655841491258823
19                        19.8574774166467
19.5                      20.040497832636586
20                        20.204495159418027
20.5                      20.349077624829413
21                        20.473872362813832
21.5                      20.578528775510897
22                        20.662722287729032
22.5                      20.72615856046319
23                        20.76857825271043
23.5                      20.789762406418365
24                        20.789538509507864
24.5                      20.767787253602016
25                        20.724449938569446
25.500000000000004        20.659536375250603
26.000000000000004        20.573132991041902
26.5                      20.465410645284216
27                        20.336631391903214
27.5                      20.187153422563174
28                        20.01743234238314
28.5                      19.828019196624542
29                        19.61955302475702
29.500000000000004        19.392750095184226
30                        19.14839458848351
